Protein	Protein State	Deut Time	MS File	Start Idx	End Idx	z	maxD	#D left	#D right	Start RT	End RT	Confidence	Theor mono m/z	mono inty	m+1 inty	m+2 inty	...																													
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	89	113	4	21	12.5362	0	10.27	10.56	Medium	734.9171	2630.1745	5055.2109	7101.2009	4902.3001	6160.0455	3997.7572	4527.5609	2826.1588	3215.9737	2617.2524	4081.7505	5757.3085	9418.5537	10458.778	14645.5195	15522.0647	17001.6385	11561.4589	8341.7169	4736.4672	3394.7286	1992.6871	1325.0482	911.5429	377.4319	377.4319	502.3449	506.6523	793.0909	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	91	97	1	4	2.9688	0	9.25	9.36	Medium	862.4669	327.0051	559.0032	1069.0091	2018.9843	2048.9865	1306.0076	626.9956	264.013	404.9982	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	92	99	2	5	2.672	0	8.3	8.6	Medium	513.2687	7536.2732	17020.291	36920.9965	61368	45315.0264	21135.8378	8701.1743	2774.5996	1711.7678	1365.294	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	92	102	2	8	4.7821	0	10.46	10.75	Medium	690.4003	6710.6995	14863.3243	30679.8608	78076.1562	158873.7778	233020.4569	291164	236317.0497	109256.0588	39552.227	12037.6734	2898.7365	1068.2834	966.0979	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	92	106	2	11	7.0057	0	11.62	11.92	Medium	912.4842	1611.3744	2339.0462	1885.1379	2994.3763	7964.6721	21292.5543	44877.3456	76826.8156	92959	81590.0157	50729.9256	23520.9604	12607.3028	4136.2393	1510.6635	2670.9666	3018.4902	1350.3772	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	92	111	3	16	8.73	0	11.99	12.28	Low	785.4215	556.3938	509.4947	522.2853	900.6757	940.1136	1124.5123	1852.5141	1679.8402	1305.7134	3197.6654	3640.0091	3612.296	5094.9468	3498.2459	2302.3191	942.2454	952.9043	508.4288	395.4446	396.5105	201.4529	181.201	234.4955	907.0711	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	92	113	3	18	10.0673	0	10.54	10.67	Low	880.1535	582.0118	782.0023	358.0012	425.0186	407.0146	267.9811	369.0159	270.016	600.989	524.0185	607.9783	836.9875	983.9835	612.0037	732.0157	836.0144	646.9943	445.9864	549.985	745.0211	455.9837	351.0119	730.9983	277.9784	351.0119	329.9998	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	92	113	4	18	3.2052	0	10.5	10.79	Low	660.3669	5877.9753	391.0771	6170.925	690.1151	23470	1303.9486	14536.1079	1172.157	5943.8711	1157.1156	2550.9546	622.0705	2366.8762	1077.969	3510.0247	2395.1684	1927.0935	1567.8898	2944.8968	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	92	114	3	19	11.4354	0	11.19	11.45	Medium	917.8482	323.9542	464.9869	511.9651	559.0412	983.02	821.0429	865.9659	1108.9805	1356.9865	1393.9819	2314.9514	3014.0466	4608.9584	5255.0073	6414	5236.0202	4344.0206	2314.9514	1555.959	749.0096	435.0382	433.9616	343.0391	260.0442	367.9963	441.9871	325.0308	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	92	117	3	22	13.3446	0	11.2	11.33	Medium	1036.891	408.97	306.0009	328.9752	436.0271	614.9774	625.0114	206.0074	643.0033	1079.9992	612.0018	893.0217	1233.9684	2845.9746	2913.0291	4009.0134	4535	4406.0118	4151.9799	2849.0194	2419.9815	1738.0188	1022.9786	598.0235	694.9722	239.9844	128.9882	297.9738	328.0064	434.9891	778.0118	268.0103	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	92	117	4	22	12.5821	0	11.17	11.46	Medium	777.9201	702.0854	1051.7929	1545.993	2171.8321	2518.8803	3063.1652	4222.2086	3658.8648	4727.9326	5589.1262	5425.1316	8163.8424	13066.8395	15837.0195	27251.9343	29051	26798.068	27872.0114	20590.2053	14581.7955	7151.0645	3813.9948	3001.1132	1193.1829	1249.0297	538.9772	1409.9218	846.1347	972.8982	476.9251	1224.2089	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	93	102	2	7	4.1865	0	10.52	10.75	Medium	633.8583	1877.0346	3739.8974	5745.0562	7712.9057	10142.0602	12109.9097	12391.8987	9657.9068	3900.9926	2646.9369	1355.861	1403.8715	872.8645	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	94	102	2	7	3.2943	0	10.49	10.74	Low	576.8368	8049.0378	6009.9176	5358.9878	7175.9056	6254.0685	7334.9799	6333.0831	3695.0824	2307.9371	523.0014	732.0348	900.9337	690.0191	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	95	106	2	9	3.0258	0	11.77	11.89	Medium	742.3787	3210.0014	4832.0403	5583	4070.0057	4311.0114	2595.0067	2439.0217	2818.037	2148.0089	1090.0204	605.9644	536.9596	315.9739	232.9977	209.9961	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	96	105	3	7	4.3559	0	10.56	10.72	Low	424.5617	160.0399	400.9227	300.9492	854.9178	962.9139	1461.9588	1494.049	782.9204	536.0721	166.0054	256.9279	247.054	49.9868	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	98	106	2	6	0.4989	0	6.09	6.4	Medium	554.8072	619075	438401.643	182232.026	97865.5222	160627.9286	188986.2585	137597.4128	52437.4048	16210.1579	4420.9522	2956.7479	1501.9902	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	98	111	2	11	6.0413	0	7.78	8	Medium	819.9515	944.0233	846.0026	719.0195	1139.0117	1678.013	2995.9896	4261.9844	4345.035	4538.9702	4220.0078	2661.9818	1347.0143	715.0324	1266.9728	437.9715	1043.022	773.0324	517.035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	98	113	3	13	8.3941	0	5.79	6.09	Medium	641.7021	7433.0526	9075.0579	5152.9866	2761.0835	1897.9359	2118.0786	4090.8865	7745.0195	12312.921	15376.0827	15430	10148.9303	7219.0315	2983.1098	2476.8994	1046.0897	745.8952	727.0594	1205.0163	327.0355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	98	117	3	17	8.5369	0	7.68	7.98	Medium	798.4396	3453.0831	5094.9599	5219.0524	4472.0256	3220.9659	3456.0494	2659.089	3257.0565	4233.9757	6634.992	9609.0089	12965.9327	16200	13604.9348	10730.0435	8345.095	5568.0934	2304.1154	1105.9556	597.9675	460.032	368.0751	1038.9654	1373.9162	1710.103	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	100	106	1	4	2.5326	0	5.32	5.58	Medium	817.4488	653.0123	1593.0443	4030.0448	4021.9966	2898.9683	1421.0136	615.9905	276.9593	191.95	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	100	111	2	9	4.7607	0	7.59	7.7	Low	674.3724	688.0136	253.0112	485.0085	458.0033	994.0115	1843.0021	1378.0141	1148.9974	870.9981	514.9941	389.0003	276.0123	235.0078	126.9873	194.9969	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	103	111	2	7	3.8018	0	5.92	6.22	Medium	497.2408	2212.0789	4112.8327	15066.7699	26351.2192	34550.2703	40562	21719.7178	9196.1577	4413.0169	1728.0706	2498.0275	1088.0903	742.7237	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	103	113	2	9	4.2697	0	4.11	4.41	Medium	639.3389	27003.7822	27520.8541	21437.1532	23356.9746	33140.3848	52894.9211	55918	51681.594	32443.2763	15528.3693	5984.7235	3040.9972	2220.1669	1582.7861	2353.2745	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	103	114	2	10	5.0693	0	6.55	6.8	Medium	695.8809	2252.0168	3114.0669	2998.0427	2857.0098	3269.0391	5647.0563	7503.033	8956	8612.9839	5906.0266	2907.0273	1506.9476	809.026	579.9842	620.9821	626.0385	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	103	116	2	12	6.9101	0	6.76	6.91	Medium	817.4236	388.0205	439.0463	674.9239	661.0927	1379.0054	1844.032	3389.946	4362.0533	5642.9322	3643.0191	3074.0719	2132.0568	1108.9237	919.0255	951.9212	433.9998	222.981	260.9232	388.955	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	103	117	2	13	7.5064	0	7	7.3	Medium	874.4451	2220.359	3135.9253	4738.535	6118.5191	8636.6952	17401.6581	32886.6716	57450.6829	84298.4499	96621	83857.6217	60850.5155	29023.8957	14299.6426	5959.2902	2470.9971	859.5414	561.7243	890.5025	710.6328	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	103	118	2	14	8.2085	0	8.41	8.54	Medium	955.9768	661.9398	593.9947	963.9805	446.0564	680.0118	1166.9754	2058.948	3140.0463	4880.983	8452.9363	9181	7320.0035	4672.9448	2904.9701	1363.9462	732.967	367.0439	326.9772	630.9792	918.03	637.0032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	103	124	3	20	12.6752	0	10.45	10.75	Medium	901.4282	685.3623	1004.6353	1235.6477	986.9832	633.941	924.0496	1191.9011	1465.1251	2640.9091	6294.1283	12589.024	21297.6539	33582.7547	45193.2379	50297	47478.0349	39077.9332	30327.8592	16702.7331	9083.1616	4981.7323	2066.8318	1247.1599	858.046	779.7628	838.8589	1106.7105	1666.9731	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	103	125	3	21	13.4432	0	10.93	11.23	Medium	935.7646	385.1338	844.9703	835.84	725.031	1360.0038	666.0989	761.1373	1255.835	1570.8313	2507.1049	3979.1626	7801.8647	13475.9481	19342.1834	26201.9643	24116.0995	27198	19709.0565	14891.1488	9632.9103	5286.0445	2519.1403	1980.036	803.0538	485.1524	886.0568	991.0555	1369.9641	1562.946	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	107	113	1	5	2.8407	0	3.21	3.31	Medium	833.5026	936.0171	1574.9931	3227.9753	4800.0003	4863	2444.9681	896.9855	539.987	98.0243	37.9928	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	107	116	2	8	4.3546	0	3.68	3.89	Medium	595.3397	3482.0655	2293.9554	2643.1075	2232.0205	3727.9139	5286.9242	6850.8988	4729.9829	2860.1161	1608.8892	521.9552	1463.0348	446.0732	165.9477	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	107	117	2	9	4.7275	0	3.73	3.91	Medium	652.3612	18256.3999	22348.2731	20632.3263	19277.0924	32824.8796	53533.4449	74572	67595.561	47120.2643	24470.4488	8115.4727	2994.9417	854.5597	638.3595	251.475	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	107	118	2	10	6.0003	0	4.69	4.96	Medium	733.8928	1753.3111	2032.6702	4008.8034	6026.1753	10072.8917	16577.3033	30227.322	33845.6878	33787.1554	20961.9112	9848.7393	4977.2483	1638.9068	589.9799	375.8045	256.0792	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	112	124	2	11	6.06	0	7.57	7.79	Low	864.4104	1275.9919	848.989	997.0064	1024.9865	1544.9846	2071.9982	2286.0095	2475.0181	2199.9889	2199.01	1153.018	811.9949	458.0013	635.0185	1209.998	676.0098	608.9962	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	114	124	2	9	5.2927	0	9.01	9.32	Medium	722.3124	950.0576	989.0204	1621.033	3289.9389	5985.0157	9897	9438.0547	7897.0615	4823.9852	2863.0095	1495.9897	987.0572	889.9523	1026.9261	1203.0137	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
